collection;numero;nom_excel;titre_resolu;statut;methode;note;extrait;url
Dinosaures celebres;34;Kentrosaurus;Kentrosaurus;ok;direct;;Kentrosaurus est un genre fossile  de dinosaures herbivores stégosauriens africains ayant vécu au Jurassique supérieur. Il est apparenté au Stegosaurus du continent américain, ce qui est un exemple d'évolution séparée liée à la dérive des continents. Kentrosaurus était cependant plus petit et ne possédait pas le même type d'armure osseuse.;https://fr.wikipedia.org/wiki/Kentrosaurus
Dinosaures celebres;35;Euoplocephalus;Euoplocephalus;ok;direct;;"Euoplocephalus (« tête bien armée ») est un dinosaure ornithischien herbivore qui a vécu au cours du Crétacé supérieur, il y a entre 76,4 et 75,6 millions d’années.
Le premier fossile d'Euoplocephalus fut trouvé en 1897 dans l'Alberta. En 1902, il est d'abord nommé Stereocephalus, mais ce nom avait déjà été donné à un genre d'insecte ce qui conduisit à le renommer de son nom actuel en 1910.";https://fr.wikipedia.org/wiki/Euoplocephalus
Dinosaures celebres;36;Nodosaurus;Nodosaurus;ok;direct;;Nodosaurus (nodosaure en français) est un genre fossile de dinosaure ornithischien herbivore, un ankylosaurien de la famille des nodosauridés à laquelle il a donné son nom. Un seul spécimen fossile a été découvert, dans la formation géologique de Frontier dans le Wyoming dans des sédiments du début du Crétacé supérieur (Cénomanien), soit il y a environ entre 100,5 et 93,9 millions d'années. Ce genre est resté monotypique et la seule espèce fossile connue est l'espèce type, Nodosaurus textilis.;https://fr.wikipedia.org/wiki/Nodosaurus
Dinosaures celebres;37;Gallimimus;Gallimimus;ok;direct;;Gallimimus est un genre fossile de dinosaures ornithomimosauriens de grande taille de la famille des ornithomimidés ayant vécu à la fin du Crétacé (Maastrichtien inférieur) et découvert dans la formation de Nemegt en Mongolie. Une seule espèce fossile est rattachée au genre, Gallimimus bullatus.;https://fr.wikipedia.org/wiki/Gallimimus
Dinosaures celebres;38;Struthiomimus;Struthiomimus;ok;direct;;"Struthiomimus est un genre fossile de dinosaures du clade des ornithomimosauriens et de la famille des ornithomimidés. Son nom signifie « semblable à l'autruche » car il présente une forte ressemblance avec une autruche.
Ses restes fossiles ont été découverts en Amérique du Nord, en particulier au Canada, en Alberta dans les formations géologiques de Dinosaur Park et de Horseshoe Canyon.";https://fr.wikipedia.org/wiki/Struthiomimus
Dinosaures celebres;39;Coelophysis;Coelophysis;ok;direct;;Coelophysis est un genre éteint de dinosaures, de la famille des Coelophysidae. L'espèce Coelophysis bauri figure parmi les premiers dinosaures découverts, en 1881. Le nom Coelophysis signifie « forme creuse ».;https://fr.wikipedia.org/wiki/Coelophysis
Dinosaures celebres;40;Ceratosaurus;Ceratosaurus;ok;direct;;Ceratosaurus est un genre de dinosaure théropode qui a vécu dans l'Utah, le Colorado, au Portugal et en Tanzanie pendant le Jurassique supérieur. Le nom signifie « lézard à corne » à cause de l'appendice qu'il porte sur le museau : il est le seul carnivore connu à présenter cette caractéristique. Cette saillie ressemble à une corne, bien qu'elle soit osseuse, arrondie et non tranchante.;https://fr.wikipedia.org/wiki/Ceratosaurus
Dinosaures celebres;41;Torosaurus;Torosaurus;ok;direct;;"Torosaurus est un genre fossile de dinosaures herbivores cératopsiens ayant vécu à la fin du Crétacé supérieur (Maastrichtien) en Amérique du Nord, il y a entre 68 et 66 millions d'années.
De nombreuses études à partir de 2009 ont débattu sur l'hypothèse que Torosaurus serait en fait la forme adulte de Triceratops et que, par principe d'antériorité, le synonyme junior Torosaurus devrait laisser la place au genre Triceratops.";https://fr.wikipedia.org/wiki/Torosaurus
Dinosaures celebres;42;Chasmosaurus;Chasmosaurus;ok;direct;;Chasmosaurus (« lézard à ouverture ») est un genre fossile de dinosaures cératopsiens du Crétacé supérieur qui a vécu au Canada.;https://fr.wikipedia.org/wiki/Chasmosaurus
Dinosaures celebres;43;Microraptor;Microraptor;ok;direct;;Microraptor (« petit voleur ») est un genre fossile de petits dinosaures saurischiens de la famille des Dromaeosauridae du biote de Jehol (formation de Jiufotang) de Chine, datant du Crétacé inférieur (Aptien inférieur), il y a 120 millions d'années. Comme Archaeopteryx, il démontre le très proche lien de parenté entre Dromaeosauridaes et oiseaux. Comme ces derniers, Microraptor possède des pennes sur les pattes et la queue.;https://fr.wikipedia.org/wiki/Microraptor
Dinosaures celebres;44;Sinosauropteryx;Sinosauropteryx;ok;direct;;"Sinosauropteryx (中华龙鸟，zhonghua longniao) est un genre fossile de petits dinosaures à plumes du biote de Jehol, qui vivait en Chine durant le Crétacé inférieur (formation d'Yixian), de 130 à 125 Ma.
En 2008, au moins trois fossiles sont connus, un de ceux-ci appartient d'ailleurs au premier genre de dinosaures découvert dans la province de Liaoning, devenue célèbre pour ses fossiles.
Deux espèces sont rattachées au genre : Sinosauropteryx prima et Sinosauropteryx lingyuanensis.";https://fr.wikipedia.org/wiki/Sinosauropteryx
Dinosaures celebres;45;Yutyrannus;Yutyrannus;ok;direct;;Yutyrannus est un genre fossile de dinosaures à plumes de la famille des Proceratosauridae et de la super-famille des Tyrannosauroidea. Il a vécu au Crétacé inférieur et a été découvert dans la province du Liaoning en Chine. La formation de Yixian, dans laquelle il a été trouvé, permet de lui attribuer l'âge d'environ 125 Ma.;https://fr.wikipedia.org/wiki/Yutyrannus
Dinosaures celebres;46;Nanotyrannus;Nanotyrannus;ok;direct;;Nanotyrannus est un genre de dinosaures théropodes de la super-famille des Tyrannosauroidea, le seul connu de la famille des Nanotyrannidae. On en connaît deux espèces, N. lancensis (l'holotype) et N. lethaeus, toutes deux découvertes dans la formation de Hell Creek (Nord-Ouest des États-Unis), datant principalement du Crétacé supérieur.;https://fr.wikipedia.org/wiki/Nanotyrannus
Dinosaures celebres;47;Suchomimus;Suchomimus;ok;direct;;Suchomimus est un genre fossile de grands dinosaures théropodes ayant vécu entre les étages Aptien et Albien du Crétacé inférieur, il y a environ 112 millions d'années, dans l'actuel Niger. L'unique espèce connue est Suchomimus tenerensis, premièrement décrite en 1998 par Paul Sereno et ses collègues à partir de fossiles ayant été découverts un an plus tôt dans la formation d'Elrhaz. Bien que ces mêmes fossiles viennent de plusieurs spécimens, ils constituent l’un des spinosauridés les mieux doc;https://fr.wikipedia.org/wiki/Suchomimus
Dinosaures celebres;48;Herrerasaurus;Herrerasaurus;ok;direct;;"Herrerasaurus est un genre fossile de dinosaures carnivores qui ont vécu au cours du Trias supérieur, il y a environ de 230 à 220 millions d’années en Argentine. Apparenté aux théropodes, ou considéré comme un saurischien basal, Herrerasaurus en est un représentant très primitif, précédant de 75 millions d’années l’apparition de l’allosaure et de 160 millions d’années celle du tyrannosaure, faisant de lui l'un des dinosaures les plus anciens connus.
Le spécimen type d'Herrerasaurus ischigualaste";https://fr.wikipedia.org/wiki/Herrerasaurus
Dinosaures celebres;49;Eoraptor;Eoraptor;ok;direct;;"Eoraptor (nom scientifique signifiant « voleur de l'aube ») est un genre fossile de petit dinosaure sauropodomorphe basaux, qui a vécu en Argentine pendant le Trias supérieur, entre 230 et 225 millions d'années avant le présent.
Une seule espèce est rattachée au genre : Eoraptor lunensis, décrite par Paul Sereno et ses collègues en 1993.";https://fr.wikipedia.org/wiki/Eoraptor
Dinosaures celebres;50;Plateosaurus;Plateosaurus;ok;direct;;Plateosaurus (les platéosaures) est un genre fossile de dinosaures sauropodomorphes herbivores basaux, de la famille des Plateosauridae. Ils sont apparus au Trias supérieur il y a environ 214 millions d'années et ont vécu dans ce qui est maintenant l'Europe.;https://fr.wikipedia.org/wiki/Plateosaurus
Grands explorateurs;1;Christophe Colomb;Christophe Colomb;ok;direct;;"Christophe Colomb (en ligure : Cristoffa Combo ; en italien : Cristoforo Colombo ; en espagnol : Cristóbal Colón) est un navigateur génois, né en 1451 sur le territoire de la république de Gênes et mort le 20 mai 1506 à Valladolid (Espagne). Il est célèbre pour avoir, selon la formulation traditionnelle mais contestée, « découvert l'Amérique » en octobre 1492, alors qu’il est au service des « Rois catholiques », Isabelle de Castille et Ferdinand d'Aragon.

D'abord navigateur et commerçant en Méd";https://fr.wikipedia.org/wiki/Christophe_Colomb
Grands explorateurs;2;Vasco de Gama;Vasco de Gama;ok;direct;;Vasco de Gama (en portugais : Vasco da Gama) né vers 1460 ou 1469 à Sines (Portugal) et mort le 24 décembre 1524 à Cochin aux Indes orientales, est un grand navigateur portugais, considéré comme le premier Européen à atteindre les Indes orientales par la route des Indes maritime, vers l'océan Indien, en contournant en 1498 le cap de Bonne-Espérance en Afrique du Sud, découvert en 1488 par Bartolomeu Dias, pendant la période des grandes découvertes.;https://fr.wikipedia.org/wiki/Vasco_de_Gama
Grands explorateurs;3;Ferdinand Magellan;Fernand de Magellan;ok;direct;redirection suivie;Fernand de Magellan (en portugais Fernão de Magalhães, en castillan Fernando de Magallanes), né vers 1480 probablement à Porto et mort le 27 avril 1521 sur l'île de Mactan (actuelles Philippines), est un navigateur et explorateur portugais de l'époque des grandes découvertes, passé au service de la couronne de Castille, avec le projet d'atteindre les Indes orientales, notamment les îles Moluques en Indonésie, en naviguant vers l'ouest, ce qui était le projet inabouti de Christophe Colomb en 1492;https://fr.wikipedia.org/wiki/Fernand_de_Magellan
Grands explorateurs;4;Marco Polo;Marco Polo;ok;direct;;Marco Polo ou Marc Pol (né le 15 septembre 1254 à Venise et mort probablement en janvier 1324 à Venise) est un célèbre marchand, explorateur, diplomate, ethnologue et écrivain vénitien, de la période des préludes des grandes découvertes, devenu mondialement célèbre pour une des plus anciennes descriptions qu'il a données de l'empire sino-mongol du Khagan Kubilai Khan, avec son Livre de Marco Polo (ou Le Devisement du Monde ou Livre des Merveilles) de 1298, recopié et traduit avec succès en de no;https://fr.wikipedia.org/wiki/Marco_Polo
Grands explorateurs;5;James Cook;James Cook;ok;direct;;"James Cook est un navigateur, explorateur et cartographe britannique, né le 7 novembre 1728 (27 octobre 1728 selon le calendrier julien) à Marton (Middlesbrough) et mort le 14 février 1779 à Hawaï.
Accédant au grade de capitaine de la Royal Navy, il fait trois voyages dans l'océan Pacifique à l'occasion desquels il est le premier Européen à débarquer sur la côte Est de l'Australie, en Nouvelle-Calédonie, aux îles Sandwich du Sud et à Hawaï. Il est également le premier navigateur à faire le tour ";https://fr.wikipedia.org/wiki/James_Cook
Grands explorateurs;6;Amerigo Vespucci;Amerigo Vespucci;ok;direct;;"Amerigo Vespucci, né le 9 mars 1454 dans la république de Florence, et mort le 22 février 1512 à Séville (royaume de Castille), est un commerçant, navigateur et explorateur florentin dont le prénom servit en 1507 pour baptiser le Nouveau Monde (America).
Entre 1497 et 1504 il participe à quatre voyages de l'âge des grandes découvertes, à la suite de ceux de Christophe Colomb (qui a entrepris son premier voyage en 1492), les deux premiers au nom de l'Espagne (1499-1500), et les deux suivants pour";https://fr.wikipedia.org/wiki/Amerigo_Vespucci
Grands explorateurs;7;Jacques Cartier;Jacques Cartier;ok;direct;;Jacques Cartier, né vers 1491 à Saint-Malo où il meurt le 1er septembre 1557, est un navigateur et explorateur français de Bretagne. Mandaté par le roi de France François Ier, il atteint en mai 1534 le golfe du Saint-Laurent et explore les territoires alentour, auxquels il donne le nom de « Canada », tiré du mot iroquoien kanata (« village »). Il y effectue un second voyage en 1535-1536, et un troisième en 1541-1542 qui constitue l'une des premières tentatives de colonisation française des Améri;https://fr.wikipedia.org/wiki/Jacques_Cartier
Grands explorateurs;8;Samuel de Champlain;Samuel de Champlain;ok;direct;;"Samuel de Champlain, né vraisemblablement à Brouage (royaume de France) entre 1567 et 1574 (peut-être baptisé le 13 août 1574 à La Rochelle au temple Saint-Yon) et mort à Québec en Nouvelle-France le 25 décembre 1635, est un colonisateur, navigateur, cartographe, soldat, explorateur, ethnologue, géographe, commandant et auteur de récits de voyage français. Il fonde la ville de Québec le 3 juillet 1608.
Après une formation de navigateur en Saintonge (vers 1586-1594), il s'enrôle comme soldat en B";https://fr.wikipedia.org/wiki/Samuel_de_Champlain
Grands explorateurs;9;Hernan Cortes;Hernán Cortés;ok;direct;redirection suivie;"Hernán Cortés (parfois écrit Cortès ou Cortez), de son nom complet Hernando Cortés de Monroy y Pizarro Altamirano, probablement né en 1485 à Medellín (Estrémadure) et mort le 2 décembre 1547 à Castilleja de la Cuesta, près de Séville, est un conquistador espagnol qui, en 1521-1522, s'est emparé de l'Empire aztèque au nom de Charles Quint, roi de Castille et roi d'Aragon, acte fondateur de la Nouvelle-Espagne.
Cette conquête, qui vient à la suite de la colonisation d'Hispaniola par Christophe Col";https://fr.wikipedia.org/wiki/Hern%C3%A1n_Cort%C3%A9s
Grands explorateurs;10;Francisco Pizarro;Francisco Pizarro;ok;direct;;"Francisco Pizarro, de son nom complet (à la fin de sa vie) Francisco Pizarro González, marqués de los Atabillos, en français François Pizarre, né le 16 mars 1475 à Trujillo (royaume de Castille) et mort le 26 juin 1541 à Lima (actuel Pérou), est un conquistador espagnol de l'époque des Rois catholiques, puis de Charles Quint.
Originaire de la région d'Estrémadure, comme Hernán Cortés, conquérant de l'Empire aztèque (1521), il est particulièrement connu comme conquérant de l'Empire inca (à partir";https://fr.wikipedia.org/wiki/Francisco_Pizarro
Grands explorateurs;11;Vasco Nunez de Balboa;Vasco Núñez de Balboa;ok;direct;redirection suivie;Vasco Núñez de Balboa est un conquistador espagnol né à Jerez de los Caballeros (Royaume de Castille) vers 1475 et mort à Acla, au Panama actuel, le 15 janvier 1519. Il est le premier Européen à avoir découvert l'océan Pacifique depuis sa côte orientale en 1513. La fondation d'une ville permanente sur les terres continentales américaines lui assure autant la célébrité qu'une mention dans les manuels.;https://fr.wikipedia.org/wiki/Vasco_N%C3%BA%C3%B1ez_de_Balboa
Grands explorateurs;12;Juan Ponce de Leon;Juan Ponce de León;ok;direct;redirection suivie;Juan Ponce de León, prononcé en espagnol : [xwan ˈponθe ðe leˈon] (c. 1460-juillet 1521), est un conquistador espagnol. Premier gouverneur de Porto Rico, il est souvent considéré comme le premier Européen à avoir exploré la péninsule de Floride en 1513.;https://fr.wikipedia.org/wiki/Juan_Ponce_de_Le%C3%B3n
Grands explorateurs;13;Zheng He;Zheng He;ok;direct;;"Zheng He (1371 – 1433) (chinois simplifié : 郑和 ; chinois traditionnel : 鄭和 ; pinyin : Zhèng Hé ; Wade : Cheng⁴ Ho² ; EFEO : Tch'eng Ho, arabe : حجّي محمود [Ḥaǧǧī Maḥmūd]) est un eunuque chinois musulman et un explorateur maritime célèbre, que ses voyages amenèrent jusqu'au Moyen-Orient et en Afrique de l'Est.
Il est l'un des rares à se voir attribuer le titre bouddhique de Sanbao taijian (chinois simplifié : 三宝太监 ; chinois traditionnel : 三寶太監 ; pinyin : Sānbǎo tàijiàn ; Wade : San¹-pao³ t'ai⁴chi";https://fr.wikipedia.org/wiki/Zheng_He
Grands explorateurs;14;Ibn Battuta;Ibn Battûta;ok;direct;redirection suivie;"Ibn Battûta (en arabe : ابن بطّوطة ; en berbère : ⵎⵉⵙ ⵏ ⵡⵓⴱⵟⵟⵓⵟ), de son nom complet ʾAbu ʿAbd Allah Muḥammad Ibn ʿAbd Allah al-Lawātī aṭ-Ṭanjī Ibn Baṭṭūṭa (أبو عبد الله محمد بن عبد الله اللواتي الطنجي بن بطوطة),  né le 24 février 1304 à Tanger et mort en 1368 (ou peut-être 1377) à Fès ou Marrakech, est un explorateur et voyageur d'origine berbère qui aurait parcouru plus de 120 000 km entre 1325 et 1349, de l'ancien territoire du khanat bulgare de la Volga au nord, jusqu'à Tombouctou au sud, et";https://fr.wikipedia.org/wiki/Ibn_Batt%C3%BBta
Grands explorateurs;15;Roald Amundsen;Roald Amundsen;ok;direct;;"Roald Engelbregt Gravning Amundsen (prononciation : /ˈɾuːɑl ˈɑmʉnsən/), né le 16 juillet 1872 à Borge en Norvège et mort le 18 juin 1928 vers l'île aux Ours, est un marin et explorateur polaire norvégien.
En 1898, il participe à l'expédition polaire belge d'Adrien de Gerlache de Gomery qui réalise le premier hivernage en Antarctique. Il s'y lie avec le médecin du bord, le docteur Frederick Cook, qui lui révèle le parti que l'on peut tirer des chiens huskys dans les expéditions polaires.";https://fr.wikipedia.org/wiki/Roald_Amundsen
Grands explorateurs;16;Robert Falcon Scott;Robert Falcon Scott;ok;direct;;Robert Falcon Scott, né le 6 juin 1868 près de Plymouth et mort le 29 mars 1912 sur la plateforme de glace de Ross en Antarctique, est un officier de la Royal Navy et un explorateur polaire britannique, considéré comme l'une des principales figures de l'âge héroïque de l'exploration en Antarctique, pour lequel il dirige deux expéditions : l'expédition Discovery (1901-1904) et l'expédition Terra Nova (1910-1913). Au cours de la seconde, Scott mène un groupe de cinq personnes au pôle Sud le 17 jan;https://fr.wikipedia.org/wiki/Robert_Falcon_Scott
Grands explorateurs;17;Ernest Shackleton;Ernest Shackleton;ok;direct;;"Ernest Shackleton, né le 15 février 1874 à Kilkea en Irlande et mort le 5 janvier 1922 sur l'île de la Géorgie du Sud, est un explorateur anglo-irlandais, considéré comme l'une des principales figures de l'âge héroïque de l'exploration en Antarctique.
Shackleton prend contact pour la première fois avec les régions polaires en 1901 en tant que troisième officier lors de l'expédition Discovery menée par Robert Falcon Scott, qu'il doit quitter avant son terme pour raisons de santé.
Déterminé à fair";https://fr.wikipedia.org/wiki/Ernest_Shackleton
Grands explorateurs;18;David Livingstone;David Livingstone;ok;direct;;"David Livingstone, né le 19 mars 1813 à Blantyre et mort le 1er mai 1873 près du lac Bangwelo, est un médecin, missionnaire protestant et explorateur britannique qui contribue à la fois au développement et à la promotion de l'empire commercial britannique d'une part, à la lutte contre la traite esclavagiste et à l'évangélisation du Sud du continent africain d'autre part.
Il participe au mouvement d'exploration et de cartographie de l'intérieur du continent africain précédant le « partage de l'Af";https://fr.wikipedia.org/wiki/David_Livingstone
Grands explorateurs;19;Henry Morton Stanley;Henry Morton Stanley;ok;direct;;"Henry Morton Stanley, surnommé Bula Matari, né John Rowlands le 28 janvier 1841 à Dinbych et mort le 10 mai 1904 à Londres, est une figure marquante de l'exploration de l'Afrique, mais dont l'héritage reste profondément ambivalent. Journaliste et explorateur, il est surtout connu pour sa recherche de David Livingstone et pour son rôle dans la conquête coloniale de l'Afrique centrale.
Issu d'un milieu modeste, il connait une jeunesse tourmentée marquée par l'orphelinat et l'émigration aux États-U";https://fr.wikipedia.org/wiki/Henry_Morton_Stanley
Grands explorateurs;20;Meriwether Lewis;Meriwether Lewis;ok;direct;;Meriwether Lewis, né le 18 août 1774 à Ivy, dans la colonie de Virginie, et mort le 11 octobre 1809, est un explorateur et soldat américain. Il mena, avec William Clark, l'expédition Lewis et Clark à travers l'Amérique du Nord.;https://fr.wikipedia.org/wiki/Meriwether_Lewis
Grands explorateurs;21;William Clark;William Clark;ok;direct;;William Clark (1er août 1770 - 1er septembre 1838) était un explorateur américain. Il participa à la célèbre expédition Lewis et Clark à travers l'Amérique du Nord.;https://fr.wikipedia.org/wiki/William_Clark
Grands explorateurs;22;Alexander von Humboldt;Alexander von Humboldt;ok;direct;;"Alexander von Humboldt, parfois aussi nommé Alexandre de Humboldt ou Friedrich Karl Wilhelm Heinrich Alexander, baron von Humboldt, est un naturaliste, géographe et explorateur prussien né le 14 septembre 1769 à Berlin et mort le 6 mai 1859 dans cette même ville.
Il était membre associé de l’Académie des sciences française et président de la Société de géographie de Paris. Par la qualité des relevés topographiques et des prélèvements de faune et de flore effectués lors de ses expéditions, il a f";https://fr.wikipedia.org/wiki/Alexander_von_Humboldt
Grands explorateurs;23;Francis Drake;Francis Drake;ok;direct;;"Sir Francis Drake, né vers 1540 à Tavistock en Angleterre, et mort le 28 janvier 1596 à Portobelo en Nouvelle-Grenade, est un corsaire, explorateur et homme politique anglais du XVIe siècle. Drake effectue la deuxième circumnavigation de la Terre entre 1577 et 1580, après celle de Magellan-Elcano entre 1519 et 1522.
La reine Élisabeth Ire d'Angleterre le fait chevalier en 1581.";https://fr.wikipedia.org/wiki/Francis_Drake
Grands explorateurs;24;Willem Barentsz;Willem Barentsz;ok;direct;;Willem Barentsz (orthographié parfois Barents ou Barentz), né en 1550 à Terschelling, dans les îles de la Frise, aux Pays-Bas des Habsbourg, et décédé le 20 juin 1597 en Nouvelle-Zemble en Empire russe, est un navigateur et explorateur néerlandais, pionnier des expéditions dans les eaux du Grand Nord[Lequel ?].;https://fr.wikipedia.org/wiki/Willem_Barentsz
Grands explorateurs;25;Henry Hudson;Henry Hudson;ok;direct;;"Henry Hudson, probablement né le 12 septembre 1565 à Londres et mort en 1611 dans la baie d'Hudson (actuel Canada), est un navigateur et explorateur anglais, qui a donné son nom au fleuve Hudson, qui arrose l'État de New York, au détroit d'Hudson et à la baie d'Hudson au Canada, où il meurt à la suite d'une mutinerie de l'équipage de son navire, le Discovery.
De ses quatre voyages (1607, 1608, 1609 et 1610-1611), trois sont effectués au service de l'Angleterre, mais celui de 1609, durant lequel ";https://fr.wikipedia.org/wiki/Henry_Hudson
Grands explorateurs;26;John Cabot;Jean Cabot;ok;direct;redirection suivie;"Jean Cabot, de son nom de naissance Giovanni Caboto, et appelé John Cabot en anglais, né vers 1450 et mort en 1498, est un navigateur et explorateur vénitien au service de l’Angleterre à partir de 1496. 
De dix ans plus âgé que Christophe Colomb, il aspire, comme lui, à découvrir une route d'Europe vers l'Asie à travers l'océan Atlantique et atteint la région de Terre-Neuve en 1497.";https://fr.wikipedia.org/wiki/Jean_Cabot
Grands explorateurs;27;Bartolomeu Dias;Bartolomeu Dias;ok;direct;;"Bartolomeu Dias, en français Bartolomeo Diaz, né vers 1450 à Algarve (Portugal) et mort le 29 mai 1500 en mer au large du cap de Bonne-Espérance, est un explorateur portugais, le premier navigateur européen qui ait atteint l'extrémité sud de l'Afrique.
C'est une étape cruciale dans l'exploration de la côte de l'Afrique lancée vers 1415 par l'infant Henri le Navigateur, puisqu'elle prouve qu'il est possible de passer de l'océan Atlantique à l'océan Indien. L'étape suivante est l'expédition comman";https://fr.wikipedia.org/wiki/Bartolomeu_Dias
Grands explorateurs;28;Pedro Alvares Cabral;Pedro Álvares Cabral;ok;direct;redirection suivie;"Pedro Álvares Cabral, né vers 1467 à Belmonte et mort vers 1520 à Santarém, est un navigateur portugais de l'époque des grandes découvertes, considéré comme le découvreur du Brésil, à l'occasion du voyage de la deuxième flotte portugaise envoyée vers les Indes en 1500, à la suite du voyage de Vasco de Gama en 1498.
Chargé par le roi de Portugal Manuel Ier d'aller aux Indes (l'Asie orientale) afin de prolonger l'œuvre de Vasco de Gama, il accoste par hasard sur la côte de l'Amérique du Sud le 22 ";https://fr.wikipedia.org/wiki/Pedro_%C3%81lvares_Cabral
Grands explorateurs;29;Jean-Francois de La Perouse;Jean-François de La Pérouse;ok;search;;"Jean-François de Galaup, comte de La Pérouse (23 août 1741 - disparu en 1788), dit Lapérouse, né au château du Gô, dans la paroisse de Saint-Julien à deux lieues d'Albi (Tarn), est un officier de marine et un explorateur français.
Né dans une famille noble originaire d'Albi, La Pérouse s'engage dans la Marine royale au début de la guerre de Sept Ans. Il connaît son baptême du feu pendant ce conflit en Amérique du Nord et aux Antilles, sous les ordres du chevalier de Ternay, son mentor.";https://fr.wikipedia.org/wiki/Jean-Fran%C3%A7ois_de_La_P%C3%A9rouse
Grands explorateurs;30;Vitus Bering;Vitus Béring;ok;direct;redirection suivie;"Vitus Béring (parfois écrit Behring et surnommé par les Russes « Ivan Ivanovitch Bering »), né le 12 août 1681 à Horsens (Danemark) et mort le 8 décembre 1741 sur l'île Béring (Extrême-Orient russe), est un explorateur, officier de marine, hydrographe et navigateur danois au service de l'empire russe.
80 ans après le Russe Simon Dejnev, il (re)découvre le détroit de Béring qui conserve pour la postérité cette appellation. Il découvre également les Îles Komandorski (ou îles du Commandeur où il es";https://fr.wikipedia.org/wiki/Vitus_B%C3%A9ring
Grands explorateurs;31;Thor Heyerdahl;Thor Heyerdahl;ok;direct;;Thor Heyerdahl, né le 6 octobre 1914 à Larvik en Norvège et mort le 18 avril 2002 à Andora en Italie, est un archéologue et navigateur norvégien, devenu internationalement célèbre en 1947 à la suite de l'expédition du Kon-Tiki, tentative de rallier les îles polynésiennes sur un radeau partant des côtes d'Amérique du Sud afin d'expliquer le peuplement de l'Océanie. Il a démontré par l'exemple qu'il était possible de naviguer en haute mer avec des embarcations en balsa, en papyrus et en roseaux.;https://fr.wikipedia.org/wiki/Thor_Heyerdahl
Grands explorateurs;32;Edmund Hillary;Edmund Hillary;ok;direct;;Edmund Percival « Ed » Hillary est un alpiniste, explorateur et philanthrope néo-zélandais, né le 20 juillet 1919 à Auckland où il est mort le 11 janvier 2008. Le 29 mai 1953, lors d'une expédition britannique dirigée par le général de brigade John Hunt, Edmund Hillary et le Sherpa Tensing Norgay sont les premiers hommes à atteindre le sommet de l'Everest. De 1985 à 1988, il exerce les fonctions de haut-commissaire de la Nouvelle-Zélande en Inde et au Bangladesh et, simultanément, d'ambassadeur ;https://fr.wikipedia.org/wiki/Edmund_Hillary
Grands explorateurs;33;Tenzing Norgay;Tensing Norgay;verifier;direct;"redirection suivie ; sujet douteux (extrait sans mot-clé de la collection)";"Tensing Norgay ou Tenzing Norgay (népalais : तेन्जिंग नोर्गे ; tibétain : བསྟན་འཛིན་ནོར་རྒྱས, Wylie : bstan 'dzin nor rgyas), né en mai 1914 à Tengboche, Khumbu au nord-est du Népal et mort le 9 mai 1986 à Darjeeling, est un sherpa népalais d'origine tibétaine. Il est le premier homme avec Edmund Hillary à avoir atteint le sommet de l'Everest, le 29 mai 1953, à 11 h 30.";https://fr.wikipedia.org/wiki/Tensing_Norgay
Grands explorateurs;34;Youri Gagarine;Youri Gagarine;verifier;direct;DOUBLON : même page que Grands explorateurs#34, Aviateurs celebres#17;"Youri Alekseïevitch Gagarine (en russe : Ю́рий Гага́рин, prononcé / ˈjʉrʲɪj ɡɐˈɡarʲɪn/), né le 9 mars 1934 et mort le 27 mars 1968, est un pilote et cosmonaute soviétique, premier être humain à avoir effectué un vol dans l'espace au cours de la mission Vostok 1, le 12 avril 1961, dans le cadre du programme spatial soviétique.
Youri Gagarine acquiert une notoriété internationale. Il est décoré de nombreuses distinctions, dont celle de héros de l'Union soviétique et de la médaille de l'ordre de Lé";https://fr.wikipedia.org/wiki/Youri_Gagarine
Grands explorateurs;35;Neil Armstrong;Neil Armstrong;verifier;direct;DOUBLON : même page que Grands explorateurs#35, Aviateurs celebres#19;Neil Alden Armstrong, né le 5 août 1930 à Wapakoneta dans l'Ohio aux États-Unis et mort le 25 août 2012 à Cincinnati dans le même État, est un astronaute américain, pilote d'essai, aviateur de l'United States Navy et professeur. Il est le premier homme à avoir posé le pied sur la Lune le 21 juillet 1969 à 2 h 56 UTC, durant la mission Apollo 11, prononçant alors une phrase restée célèbre : « That's one small step for [a] man, one giant leap for mankind. » (en français : « C'est un petit pas pour;https://fr.wikipedia.org/wiki/Neil_Armstrong
Grands explorateurs;36;Buzz Aldrin;Buzz Aldrin;verifier;direct;DOUBLON : même page que Grands explorateurs#36, Aviateurs celebres#20;Buzz Aldrin, né Edwin Eugene Aldrin Jr. le 20 janvier 1930 à Glen Ridge dans le New Jersey aux États-Unis, est un militaire, pilote d'essai, astronaute et ingénieur américain. Il effectue trois sorties dans l'espace en tant que pilote de la mission Gemini 12 de 1966 et, en tant que pilote du module lunaire Apollo de la mission Apollo 11 de 1969, il est, avec le commandant de la mission Neil Armstrong, l'un des deux premiers hommes à marcher sur la Lune.;https://fr.wikipedia.org/wiki/Buzz_Aldrin
